species,lat,lon,country,eventDate,basisOfRecord,presence,10m_bio_1,10m_bio_2,10m_bio_3,10m_bio_4,10m_bio_5,10m_bio_6,10m_bio_7,10m_bio_8,10m_bio_9,10m_bio_10,10m_bio_11,10m_bio_12,10m_bio_13,10m_bio_14,10m_bio_15,10m_bio_16,10m_bio_17,10m_bio_18,10m_bio_19,10m_elev
Apis mellifera,-0.4854,37.1543,Kenya,2025-01-31,PRESERVED_SPECIMEN,1,243.0,12.013250350952148,75.24859619140625,89.1675796508789,25.7814998626709,9.816749572753906,15.964750289916992,18.15387535095215,16.095041275024414,18.221708297729492,16.095041275024414,1216.0,243.0,40.0,72.26627349853516,546.0,130.0,374.0,130.0,1812.0
Apis mellifera,-1.181622,36.952019,Kenya,2025-02-25T07:48:16,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.2455,36.795244,Kenya,2025-02-23T15:58:15,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.358354,36.953314,Kenya,2025-02-24T08:58,HUMAN_OBSERVATION,1,144.0,12.275479316711426,73.48716735839844,122.2987289428711,28.831249237060547,12.126999855041504,16.70425033569336,20.777374267578125,18.376874923706055,21.258499145507812,18.143667221069336,649.0,144.0,9.0,77.1600341796875,306.0,33.0,252.0,40.0,1590.0
Apis mellifera,-1.267011,36.821087,Kenya,2025-03-17T08:27,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.224,36.896705,Kenya,2025-04-14T14:16,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-0.855073,37.182287,Kenya,2025-04-15T13:31,HUMAN_OBSERVATION,1,235.0,11.310812950134277,75.79449462890625,111.7760009765625,28.280750274658203,13.357749938964844,14.92300033569336,21.155540466308594,18.93112564086914,21.366666793823242,18.659542083740234,952.0,235.0,8.0,93.56572723388672,468.0,32.0,375.0,38.0,1339.0
Apis mellifera,-1.247041,36.804972,Kenya,2025-04-20T10:05,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.245061,36.799764,Kenya,2025-04-20T10:18,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.375643,36.746138,Kenya,2025-04-25T11:15:01,HUMAN_OBSERVATION,1,191.0,11.984271049499512,72.64295196533203,127.05976867675781,28.277999877929688,11.780500411987305,16.497499465942383,20.282583236694336,17.86954116821289,20.80608367919922,17.616374969482422,858.0,191.0,18.0,76.34839630126953,418.0,58.0,313.0,69.0,1775.0
