species,lat,lon,country,eventDate,basisOfRecord,presence
Apis mellifera,-1.494557,37.046592,Kenya,2025-08-17T13:32:32,HUMAN_OBSERVATION,1
Apis mellifera,-1.23612,36.828628,Kenya,2025-08-05T13:11:51,HUMAN_OBSERVATION,1
Apis mellifera,-1.267151,36.82111,Kenya,2025-09-14T10:19,HUMAN_OBSERVATION,1
Apis mellifera,-1.237405,36.810288,Kenya,2025-09-11T07:09:35,HUMAN_OBSERVATION,1
Apis mellifera,-1.181151,36.933998,Kenya,2025-09-09T12:36:39,HUMAN_OBSERVATION,1
Apis mellifera,-1.23765,36.81057,Kenya,2025-09-11T07:09:50,HUMAN_OBSERVATION,1
Apis mellifera,0.226669,34.884434,Kenya,2025-09-18T12:10,HUMAN_OBSERVATION,1
Apis mellifera,-1.393838,36.84789,Kenya,2025-09-20T10:14:32,HUMAN_OBSERVATION,1
Apis mellifera,-1.256532,36.816621,Kenya,2025-09-27T10:45,HUMAN_OBSERVATION,1
Apis mellifera,-1.394133,36.84796,Kenya,2025-09-20T10:07:25,HUMAN_OBSERVATION,1
Apis mellifera,-1.394055,36.847916,Kenya,2025-09-20T10:13:53,HUMAN_OBSERVATION,1
Apis mellifera,-0.604762,37.34023,Kenya,2025-09-16T12:39,HUMAN_OBSERVATION,1
Apis mellifera,-0.295995,37.099255,Kenya,2025-09-04T10:57:09,HUMAN_OBSERVATION,1
Apis mellifera,-1.267144,36.82109,Kenya,2025-10-05T14:07,HUMAN_OBSERVATION,1
Apis mellifera,-1.37547,36.747042,Kenya,2025-10-26T11:01:24,HUMAN_OBSERVATION,1
Apis mellifera,-1.37554,36.746125,Kenya,2025-10-25T09:33:05,HUMAN_OBSERVATION,1
Apis mellifera,-1.375555,36.746114,Kenya,2025-10-25T09:34:35,HUMAN_OBSERVATION,1
Apis mellifera,-1.375566,36.746176,Kenya,2025-10-25T10:29:59,HUMAN_OBSERVATION,1
Apis mellifera,-1.37553,36.746085,Kenya,2025-10-25T10:26:39,HUMAN_OBSERVATION,1
Apis mellifera,-1.401025,36.852417,Kenya,2025-10-25T08:47:40,HUMAN_OBSERVATION,1
Apis mellifera,-1.375733,36.745835,Kenya,2025-10-25T10:12:45,HUMAN_OBSERVATION,1
Apis mellifera,-1.375695,36.746119,Kenya,2025-10-25T10:46:19,HUMAN_OBSERVATION,1
